Node1 School,Node1 Label,Node1 Color,Node1 Score,Node2 School,Node2 Label,Node2 Color,Node2 Score,Result
SLO,Silvia: 1304,White,2,AG,Jennie: 1162,Black,1,win
AG,Kris: 985,White,2.0,SLO,Hilda: 1061,Black,3,loss
AG,John: 1215,White,1.5,SLO,Phyllis: 1060,Black,2.5,loss
SLO,Shelia: 903,White,2,AG,Harry: 892,Black,0.5,win
AG,Irma: 1208,White,2,SLO,Kenneth: 1279,Black,3,loss
SLO,Harold: 1125,White,3.5,Templton,George: 926,Black,4.5,loss
AG,Bobby: 1175,White,2.5,SLO,Lorenzo: 1135,Black,2.5,draw
SLO,Olive: 997,White,2,SLO,Edward: 774,Black,1.0,win
Templton,Veronica: 1035,White,2,SLO,Sandra: 1077,Black,2.5,loss
Templton,Lorna: 1162,White,2.0,SLO,Paul: 1183,Black,3,loss
SLO,Renate: 1401,White,3.5,Templton,Timothy: 1243,Black,2.5,win
AG,Richard: 1139,White,3,Templton,Catherine: 1209,Black,4.0,loss
AG,Elijah: 1114,White,4.0,Templton,Nancy: 1093,Black,4.0,draw
AG,Joseph: 1183,White,3.5,SLO,Kyle: 1154,Black,2.5,win
Templton,Lisa: 1140,White,3,AG,Sherell: 1382,Black,4,loss
Templton,Aaron: 1210,White,2.5,SLO,Larry: 1178,Black,3.5,loss
AG,Ruth: 1004,White,2.5,Templton,Thomas: 1021,Black,3.5,loss
SLO,Derrick: 1030,White,1.5,AG,Gene: 1089,Black,1.5,draw
AG,Jessica: 1100,White,2.5,SLO,Adam: 908,Black,1.5,win
AG,Gregory: 1132,White,2,SLO,Lois: 1173,Black,1,win
AG,Leah: 949,White,2.5,SLO,Peter: 982,Black,3.5,loss
Templton,Carline: 1021,White,2.5,SLO,Gary: 1113,Black,3.5,loss
SLO,Kim: 1189,White,4.0,Templton,Marlene: 1238,Black,4.0,draw
AG,Israel: 1224,White,1,AG,Robin: 1126,Black,0,win
AG,Erica: 1301,White,2,SLO,Marissa: 1240,Black,1,win
